project_id,project_name,finance_type,sector,province,district,latitude,longitude,status,approval_date,construction_start_date,financial_close_date,operation_date,committed_usd,disbursed_usd,year
66448,"CDB provides $46.75 million buyer’s credit loan for Huawei Fiber-to-the-Home (FTTH) Network Project (Linked to Project ID#66445, #66446)",DF,COMMUNICATIONS,,,,,Pipeline: Commitment,2017-11-17,,,,46750000.0,46750000.0,2017
66612,"Chinese Embassy built comprehensive sanitation facilities in West Java, Indonesia",DF,WATER SUPPLY AND SANITATION,,,,,Completion,2017-01-01,,,2018-12-16,,,2017
67564,ICBC contributes IDR 317 billion to IDR 8.07 trillion syndicated loan for Bakauheni–Terbanggi Besar Toll Road Construction Project (Linked to Project ID#68792),DF,TRANSPORT AND STORAGE,,,,,Completion,2017-12-27,2015-04-30,,2019-03-08,23691497.5695681,23691497.5695681,2017
69113,ICBC contributes IDR 500 billion to IDR 4.179 trillion syndicated loan for Pandaan-Malang Toll Road Project (Linked to Project ID#61426),DF,TRANSPORT AND STORAGE,,,,,Completion,2017-10-13,,,2020-04-07,37368292.6964796,37368292.6964796,2017
69418,"China Construction Bank contributes $364 million to $520 million syndicated loan for 700MW Sumsel-1 Power Plant Construction Project (Linked to Project ID#62064, #69419)",DF,ENERGY,,,,,Implementation,2017-01-09,2017-03-01,,,364000000.0,364000000.0,2017
69419,"Bank of China contributes $104 million to $520 million syndicated loan for 700MW Sumsel-1 Power Plant Construction Project (Linked to Project ID#62064, #69418)",DF,ENERGY,,,,,Implementation,2017-01-09,2017-03-01,,,104000000.0,104000000.0,2017
69599,Bank of China contributes $122.4 million to overseas investment loan for Phase 1 of 244MW Sorik Marapi Geothermal Power Plant Construction Project (Linked to Project ID#62261),DF,ENERGY,,,,,Completion,2017-10-01,2016-10-16,,2019-09-28,122400000.0,122400000.0,2017
73327,Bank of China contributes $156.3 million to $1.25 billion syndicated loan to Star Energy Geothermal Ltd. to facilitate acquisition of geothermal assets (Linked to Project ID#62262),DF,ENERGY,,,,,Completion,2017-03-01,2018-04-18,,,156300000.0,156300000.0,2017
85817,"China Eximbank syndicate provides $320 million in overseas investment loan for Phase 4 of Sulawesi Mining Power Station Project in Morowali Industrial Park (Linked to Project ID#66200, #66207, #66216, #69488)",DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Implementation,2017-02-28,2018-05-10,,,320000000.0,320000000.0,2017
96237,"ICBC participates in $300 million syndicated loan to acquire equity stakes in 347MW Wayang Windu Power Plant, 377MW Salak Power Plant, and 271MW Darajat Power Plant",DF,BUSINESS AND OTHER SERVICES,,,,,Pipeline: Commitment,2017-07-01,,,,100000000.0,100000000.0,2017
96341,China Eximbank provides $31 million loan for Sokon Car Factory Project,DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Completion,2017-01-01,,,2017-11-28,31000000.0,31000000.0,2017
96746,BOC contributes Rp 900 billion to Rp 5 trillion syndicated loan to PT Wijaya Karya to support its toll-road projects (Linked to Project ID#96747),DF,TRANSPORT AND STORAGE,,,,,Pipeline: Commitment,2017-03-01,,,,67262926.8536634,67262926.8536634,2017
96747,ICBC contributes Rp 325 billion to Rp 5 trillion syndicated loan to PT Wijaya Karya to support its toll-road projects (Linked to Project ID#96746),DF,TRANSPORT AND STORAGE,,,,,Pipeline: Commitment,2017-03-01,,,,24289390.2527117,24289390.2527117,2017
98195,Bank of China contributes to IDR 5 trillion syndicated loan agreement for Indonesia’s Waskita Karya (Linked to Project ID #98196),DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Pipeline: Commitment,2017-09-01,,,,35499878.0616556,35499878.0616556,2017
98196,China Construction Bank contributes to IDR 5 trillion syndicated loan agreement for Indonesia’s Waskita Karya (Linked to Project ID #98195),DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Pipeline: Commitment,2017-09-01,,,,35499878.0616556,35499878.0616556,2017
98530,ICBC contributes USD $16 million to a USD $200 million syndicated loan to Mandiri Tunas Finance,DF,BUSINESS AND OTHER SERVICES,,,,,Pipeline: Commitment,2017-07-13,,,,16000000.0,16000000.0,2017
98583,ICBC participates in USD $250 million syndicated loan to Saka Energi Indonesia,DF,ENERGY,,,,,Pipeline: Commitment,2017-10-30,,,,15000000.0,15000000.0,2017
98584,Bank of China participates in USD $250 million syndicated loan to Saka Energi Indonesia,DF,ENERGY,,,,,Pipeline: Commitment,2017-10-30,,,,15000000.0,15000000.0,2017
98654,"Bank of China contributes $82,142,857.10 USD to a $575 million USD syndicated loan to Trans Retail Indonesia in 2017 (Linked to Project ID#66265, 98675, 98657, 98656)",DF,BUSINESS AND OTHER SERVICES,,,,,Pipeline: Commitment,2017-01-01,,,,82142857.1,82142857.1,2017
39363,"China Eximbank provides $219.3 million preferential buyer's credit for Phase 2 of Cileunyi-Sumedang-Dawuan Toll Road Project (Linked to Project ID#61325, #61397)",DF,TRANSPORT AND STORAGE,,,,,Implementation,2016-06-13,2012-11-29,,2021-01-01,219398580.0,219398580.0,2016
39365,China Eximbank provides $175.05 million preferential buyer's credit for Phase 2 of Railway Equipment Project (Linked to Project ID#61219),DF,TRANSPORT AND STORAGE,,,,,Implementation,2016-08-18,,,,175056055.0,175056055.0,2016
46420,China Eximbank provides $78 million preferential buyer's credit for Section 1B of Manado-Bitung Toll Road Project (Linked to Project ID#61426),DF,TRANSPORT AND STORAGE,,,,,Completion,2016-06-13,2014-10-12,,2019-12-25,78099963.0,78099963.0,2016
61313,ICBC contributes $52.5 million to syndicated loan for Procurement of 10 Electric Train Airport Railways Project,DF,TRANSPORT AND STORAGE,,,,,Completion,2016-02-15,2017-03-01,,2019-10-08,52500000.0,52500000.0,2016
61428,ICBC Indonesia contributes IDR 500 billion to syndicated loan for the Pejagan Pemalang Toll Road Project in 2016,DF,TRANSPORT AND STORAGE,,,,,Completion,2016-11-30,2014-07-23,,2018-11-09,37573937.4869386,37573937.4869386,2016
61465,"CDB contributes $98 million to $1.389 billion syndicated buyer’s credit loan for 1000MW Cilacap Power Plant Phase 3 Expansion Project (Linked to Project ID#34801, #34748, #69234)",DF,ENERGY,,,,,Completion,2016-09-19,2016-11-17,,2019-11-09,98000000.0,98000000.0,2016
61474,"China Eximbank contributes $90 million to $270.46 million syndicated loan for 200MW Bengkulu Coal-Fired Power Plant Construction Project (Linked to Project ID#69306, #69307)",DF,ENERGY,,,,,Completion,2016-10-31,2017-02-21,,2019-11-29,90000000.0,90000000.0,2016
62065,CDB provides $150 million loan for 100MW Kendari-3 Power Plant Construction Project,DF,ENERGY,,,,,Completion,2016-06-03,2016-09-08,,2019-10-27,150000000.0,150000000.0,2016
62069,CDB provides $1.319 billion loan for 2100MW Java-7 Coal-Fired Power Plant Construction Project (Linked to Project ID#49153),DF,ENERGY,,,,,Completion,2016-09-29,2017-10-05,,2020-09-01,1319000000.0,1319000000.0,2016
66187,ICBC Indonesia contributes $65 million to syndicated loan for Krakatau Steel’s Blast Furnace Project,DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Completion,2016-06-27,2013-09-08,,2018-12-31,65010000.0,65010000.0,2016
66273,ICBC provides IDR 100 billion loan for Cement Plant Equipment and Machinery Acquisition Project,DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Implementation,2016-10-21,,,,7514787.49738772,7514787.49738772,2016
66462,CDB provides $200 million (Phase 2) loan to Smartel for working capital and the acquisition of telecommunications equipment (Linked to Project ID#66468),DF,COMMUNICATIONS,,,,,Implementation,2016-05-13,,,,200000000.0,200000000.0,2016
66696,China granted RMB 10m for strengthening capacity in forest fire management,DF,GOVERNMENT AND CIVIL SOCIETY,,,,,Pipeline: Commitment,2016-04-26,,,,1504875.70511092,1504875.70511092,2016
